model,dim,best_k,best_silhouette,var_2d,var_5d,var_10d
L3_original (Kushi),384,14,0.061557382345199585,0.14804411,0.26559538,0.39775383
L6_original,384,4,0.05002308636903763,0.12973607,0.23581341,0.35221103
L6_normalized,384,3,0.07466086000204086,0.18260714,0.31332278,0.44861212
emotion_distil,768,3,0.2718724012374878,0.40743533,0.6091851,0.6980301
emotion_distil_norm,768,4,0.2925834059715271,0.4175576,0.64915305,0.7623363
