cluster,size,pct,top_3_moods,top_3_styles,top_3_objects,top_video
0,803,63.0,"calm, joyful, happy","candid, cinematic, realistic","man, woman, people",gacs_emotional_shorts_02_DZQtVmKM
1,183,14.4,"intense, tense, chaotic","cinematic, dramatic, animated","man, figure, smoke",gacs_emotional_shorts_02_DZQtVmKM
2,97,7.6,"surprised, mysterious, joyful","cinematic, candid, animated","man, woman, sky",gacs_emotional_shorts_02_DZQtVmKM
3,192,15.1,"somber, mysterious, tense","cinematic, dramatic, realistic","man, woman, person",gacs_emotional_shorts_00_WAmw-erI
